,Id,MSZoning,Street,OverallQual,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,1stFlrSF,2ndFlrSF,FullBath,TotRmsAbvGrd,YearBuilt
0,0,RM,Pave,6,848,2,420,848,848,0,1,3,2004
1,1,RL,Pave,1,334,0,0,0,334,0,1,2,1946
2,2,RM,Pave,6,848,2,420,848,848,0,1,3,2004
3,3,RL,Pave,8,2090,2,556,1220,1220,870,2,8,1995
4,4,RM,Pave,4,988,1,297,462,526,462,1,5,1973
5,5,RL,Pave,5,1664,0,0,0,1664,0,2,8,1965
6,6,RL,Pave,5,912,1,297,912,912,0,1,5,1958
7,7,RL,Pave,7,1200,2,555,1176,1200,0,2,5,2003
8,8,RL,Pave,6,1422,2,576,1422,1422,0,2,7,1981
9,9,RL,Pave,8,3112,2,795,1360,1360,1360,2,8,1918
10,10,RL,Pave,6,2201,2,432,697,1575,626,2,8,1966
11,11,RM,Pave,7,1690,1,225,815,815,875,1,7,1916
12,12,RL,Pave,5,1188,1,312,1188,1188,0,1,6,1962
13,13,RL,Pave,5,1422,1,286,978,1422,0,1,6,1960
14,14,RM,Pave,4,951,1,327,951,951,0,1,6,1936
15,15,RL,Pave,7,1640,2,595,798,798,842,2,6,2003
16,16,RL,Pave,6,1034,3,888,1012,1034,0,1,6,1976
17,17,RL,Pave,6,1688,2,603,616,616,1072,2,8,1997
18,18,RL,Pave,5,1077,1,205,991,1077,0,1,5,1939
19,19,RL,Pave,5,1486,2,480,1486,1486,0,1,7,1964
20,20,RL,Pave,5,964,2,432,876,964,0,1,5,1921
21,21,RL,Pave,6,1493,2,508,1478,1493,0,2,7,1997
22,22,RL,Pave,5,955,1,386,955,955,0,1,6,1966
23,23,RL,Pave,7,1080,0,0,1080,1080,0,1,6,2004
24,24,RL,Pave,5,1236,1,288,912,1236,0,1,6,1961
25,25,RL,Pave,7,1145,2,397,1145,1145,0,2,5,2005
26,26,RM,Pave,6,1469,1,216,756,756,713,1,7,1906
27,27,RL,Pave,6,1608,1,216,976,1160,448,2,7,1925
28,28,FV,Pave,8,1953,3,1043,1082,1082,871,2,9,2005
29,29,RL,Pave,8,1694,2,636,1686,1694,0,2,7,2004
30,30,RL,Pave,8,1370,2,484,1370,1370,0,2,6,2006
31,31,RL,Pave,6,1251,1,461,1251,1251,0,1,6,1964
32,32,FV,Pave,7,1102,2,480,551,551,551,2,4,2004
33,33,RL,Pave,5,2634,4,968,1248,1338,1296,2,12,1969
34,34,RL,Pave,7,1472,2,588,1372,1472,0,2,6,1980
35,35,RL,Pave,5,943,2,600,943,943,0,1,4,1979
36,36,RL,Pave,5,1057,2,576,1057,1057,0,1,6,1962
37,37,RL,Pave,5,1148,1,308,980,1148,0,1,6,1952
38,38,RM,Pave,5,875,1,180,715,875,0,1,5,1931
39,39,RL,Pave,7,1428,2,554,1417,1428,0,2,6,2008
40,40,RL,Pave,9,1940,3,606,1930,1940,0,2,8,2009
41,41,RM,Pave,6,848,2,420,848,848,0,1,3,2004
42,42,FV,Pave,8,1656,3,826,1656,1656,0,2,7,2006
43,43,RL,Pave,9,1944,3,708,1896,1944,0,2,8,2003
44,44,RL,Pave,3,720,1,287,0,720,0,1,4,1949
45,45,RL,Pave,4,1294,0,0,0,694,600,2,7,1900
46,46,RL,Pave,6,1668,1,271,856,1112,556,1,6,1950
47,47,RL,Pave,6,1855,1,325,994,1216,639,2,7,1954
48,48,FV,Pave,6,1525,2,440,756,769,756,2,5,2000
49,49,RL,Pave,6,1790,2,484,732,1012,778,1,8,1972
50,50,RM,Pave,4,1154,1,240,796,796,358,1,7,1922
51,51,RL,Pave,5,1128,2,525,1120,1128,0,2,6,1963
52,52,RL,Pave,10,2392,3,968,2392,2392,0,2,8,2003
53,53,RL,Pave,9,1561,2,556,1561,1561,0,2,6,2005
54,54,RL,Pave,5,988,1,276,876,988,0,1,6,1950
55,55,RL,Pave,7,1604,2,660,1604,1604,0,2,8,2006
56,56,RL,Pave,5,1073,1,326,1073,1073,0,1,4,1921
57,57,FV,Pave,8,1939,3,1053,1095,1095,844,2,8,2006
58,58,RL,Pave,8,1616,2,608,1595,1616,0,2,5,1995
59,59,FV,Pave,7,1550,2,438,1092,1112,438,2,7,2006
60,60,RL,Pave,8,1752,2,492,559,1080,672,2,8,1988
61,61,RL,Pave,5,954,2,576,911,954,0,1,6,1976
62,62,RL,Pave,7,1726,3,786,1726,1726,0,2,8,2007
63,63,C (all),Pave,2,480,1,308,480,480,0,0,4,1949
64,64,RM,Pave,4,1208,2,539,780,848,0,1,5,1925
65,65,RL,Pave,6,1429,2,572,1144,1429,0,1,7,1960
66,66,RL,Pave,6,1348,2,453,660,660,688,1,6,1966
67,67,RL,Pave,5,1128,1,286,936,1128,0,1,5,1954
68,68,RL,Pave,7,1277,2,526,1277,1277,0,1,5,1970
69,69,RL,Pave,6,1991,2,432,854,1096,895,1,7,1932
70,70,RL,Pave,7,2035,2,434,884,884,1151,2,8,2001
71,71,RL,Pave,7,1894,2,510,817,824,1070,2,8,2002
72,72,RL,Pave,6,1756,2,422,872,888,868,2,7,1996
73,73,RM,Pave,6,1664,2,420,1004,1004,660,2,7,1947
74,74,RH,Pave,6,784,2,360,784,784,0,1,5,1928
75,75,RL,Pave,5,1385,2,720,910,910,475,2,6,1952
76,76,RL,Pave,10,3627,3,807,1930,1831,1796,3,10,1995
77,77,RL,Pave,5,1376,1,240,768,968,408,1,6,1941
78,78,RL,Pave,7,1446,2,406,729,729,717,2,6,1996
79,79,RL,Pave,7,1601,2,478,1271,1601,0,2,7,1978
80,80,RL,Pave,6,1933,3,668,894,894,1039,2,9,2007
81,81,RM,Pave,6,1229,2,462,561,561,668,1,5,1980
82,82,RL,Pave,8,2132,2,612,1496,1496,636,1,5,1983
83,83,RL,Pave,7,1710,2,548,856,856,854,2,8,2003
84,84,RL,Pave,7,1294,2,662,1286,1294,0,2,6,2006
85,85,RL,Pave,6,1199,2,530,1199,1199,0,2,5,1993
86,86,RM,Pave,5,1302,2,440,630,630,672,2,6,1970
87,87,RL,Pave,7,2080,1,282,1276,1276,804,1,9,1926
88,88,RL,Pave,7,1490,2,388,788,788,702,2,8,2004
89,89,RL,Pave,8,1844,2,620,1844,1844,0,2,7,2005
90,90,RL,Pave,9,2596,3,840,1249,1249,1347,3,9,2006
91,91,RM,Pave,4,1573,1,240,884,989,584,1,6,1935
92,92,RH,Pave,5,2002,3,871,1001,1001,1001,2,8,1949
93,93,RL,Pave,7,1872,2,604,1845,1872,0,2,6,1988
94,94,FV,Pave,7,1761,2,578,874,874,887,3,7,2007
95,95,RM,Pave,8,2358,0,0,684,938,1215,2,8,1872
96,96,RL,Pave,5,985,1,328,985,985,0,2,6,1977
97,97,RL,Pave,6,1441,2,440,855,855,586,2,7,1978
98,98,RL,Pave,7,1302,2,436,1302,1302,0,2,6,2007
99,99,FV,Pave,7,1200,2,480,600,520,600,2,4,2005
100,100,RL,Pave,8,1659,2,499,1501,1659,0,2,5,2000
101,101,RL,Pave,7,1500,2,570,1500,1500,0,2,6,2004
102,102,RL,Pave,8,2031,2,577,1128,1128,903,2,7,2002
103,103,RL,Pave,5,1154,2,480,1154,1154,0,1,6,1966
104,104,RH,Pave,4,1056,1,384,1056,1056,0,1,5,1966
105,105,RL,Pave,9,1905,3,788,1905,1905,0,2,8,2006
106,106,RL,Pave,5,1056,1,308,1056,1056,0,1,6,1958
107,107,RL,Pave,4,1470,1,548,941,997,473,2,7,1954
108,108,RH,Pave,5,965,1,300,828,965,0,1,6,1965
109,109,RL,Pave,5,999,1,300,925,999,0,1,6,1962
110,110,RL,Pave,6,1392,1,299,689,689,703,1,6,1977
111,111,RL,Pave,5,1040,1,286,1040,1040,0,1,6,1959
112,112,RL,Pave,7,1166,2,400,856,1166,0,2,5,2005
113,113,RL,Pave,7,1692,2,650,846,846,846,2,6,2009
114,114,FV,Pave,7,1674,2,663,814,814,860,2,7,2000
115,115,RL,Pave,6,913,1,240,814,913,0,1,6,1966
116,116,RL,Pave,6,2158,2,576,1202,2158,0,2,7,1950
117,117,RM,Pave,6,1902,2,539,0,1318,584,2,8,1978
118,118,RL,Pave,6,1728,2,574,1728,1728,0,2,8,1976
119,119,RL,Pave,7,2403,1,349,1032,1207,1196,2,10,1940
120,120,RL,Pave,5,1268,1,288,832,1036,0,1,6,1949
121,121,RL,Pave,5,1328,1,308,1350,1328,0,1,5,1959
122,122,RL,Pave,8,1228,2,472,1228,1228,0,2,5,1988
123,123,RL,Pave,10,4476,3,813,2396,2411,2065,3,10,1996
124,124,FV,Pave,7,1553,2,615,756,756,797,2,6,2005
125,125,RL,Pave,7,1477,1,216,861,877,600,2,6,1928
126,126,RL,Pave,5,1647,2,621,1430,1647,0,2,7,1977
127,127,RL,Pave,5,1152,2,484,1152,1152,0,1,6,1964
128,128,RL,Pave,8,1466,3,610,1466,1466,0,2,7,2007
129,129,RL,Pave,5,924,2,576,672,672,252,1,6,1949
130,130,RL,Pave,7,1431,2,666,1431,1431,0,2,6,1999
131,131,RL,Pave,4,1040,2,420,0,1040,0,1,4,1950
132,132,RL,Pave,6,1575,2,529,1575,1575,0,2,5,1992
133,133,RL,Pave,6,2447,1,336,804,1699,748,2,10,1919
134,134,RM,Pave,7,1344,4,784,1344,1344,0,2,8,1997
135,135,RL,Pave,5,925,1,429,925,925,0,1,5,1965
136,136,RL,Pave,6,1680,2,540,880,1680,0,2,5,1988
137,137,RL,Pave,5,1224,2,528,1086,1224,0,0,6,1979
138,138,RL,Pave,6,1661,1,377,992,1661,0,1,8,1955
139,139,RM,Pave,7,1889,1,308,925,964,925,1,9,1910
140,140,RL,Pave,5,698,0,0,698,698,0,1,4,1947
141,141,RH,Pave,5,1928,0,0,686,948,980,2,10,1916
142,142,RL,Pave,8,2715,2,831,1142,1175,1540,3,11,1976
143,143,RL,Pave,8,1919,2,685,1079,1079,840,2,8,2006
144,144,RM,Pave,5,1072,2,525,547,1072,0,1,5,2005
145,145,RM,Pave,6,816,1,432,816,816,0,1,5,1930
146,146,RL,Pave,5,1148,1,672,1148,1148,0,1,6,1959
147,147,RM,Pave,5,866,0,0,686,866,0,1,4,1945
148,148,RL,Pave,8,1580,3,830,1580,1580,0,2,7,2007
149,149,RL,Pave,7,1504,2,437,1346,1504,0,2,7,2005
150,150,C (all),Pave,4,720,0,0,720,720,0,1,4,1920
151,151,RL,Pave,8,2198,3,836,1145,1145,1053,2,9,2000
152,152,RL,Pave,5,1056,1,260,1056,1056,0,1,6,1954
153,153,RL,Pave,5,1057,1,246,1057,1057,0,1,5,1953
154,154,RL,Pave,6,1431,1,296,1099,1431,0,1,6,1962
155,155,RL,Pave,7,1552,3,782,1552,1552,0,2,7,2005
156,156,RL,Pave,6,1056,2,576,1056,1056,0,0,4,1980
157,157,RL,Pave,7,1840,2,622,944,944,896,2,6,2001
158,158,RL,Pave,7,1802,1,216,793,901,901,1,9,1920
159,159,RL,Pave,7,1217,2,497,1188,1217,0,2,6,1990
160,160,RL,Pave,5,2414,2,520,954,1766,648,2,10,1900
161,161,RL,Pave,8,2452,2,683,1028,1210,1242,2,9,1998
162,162,RM,Pave,6,848,2,420,848,848,0,1,3,2004
163,163,RL,Pave,6,1092,2,504,1092,1092,0,1,6,1964
164,164,RL,Pave,8,1646,3,800,1638,1646,0,2,7,2007
165,165,RL,Pave,7,2149,2,670,1434,1518,631,1,6,2003
166,166,RL,Pave,7,1661,2,550,799,827,834,2,6,1996
167,167,RL,Pave,5,1582,2,390,1624,1582,0,2,7,1964
168,168,FV,Pave,8,2610,2,550,1184,1184,1426,2,11,2007
169,169,RL,Pave,7,1724,2,527,880,880,844,2,8,1998
170,170,RL,Pave,8,2169,2,647,1284,1284,885,2,7,2002
171,171,RL,Pave,6,864,1,288,864,864,0,1,4,1959
172,172,RM,Pave,6,1218,1,264,672,672,546,1,7,1973
173,173,RL,Pave,6,2614,2,624,1522,1548,1066,2,9,1974
174,174,RM,Pave,6,1236,2,923,912,1236,0,1,6,1957
175,175,RL,Pave,9,1869,2,617,1869,1869,0,2,6,2007
176,176,RL,Pave,5,1134,1,240,756,756,378,1,7,1940
177,177,RL,Pave,6,1324,2,440,1088,1324,0,2,6,1965
178,178,RL,Pave,4,1230,1,305,747,774,456,1,5,1946
179,179,RL,Pave,5,874,1,288,864,874,0,1,5,1968
180,180,RL,Pave,7,1767,2,504,1064,1064,703,2,5,1987
181,181,RL,Pave,4,968,1,216,656,968,0,2,5,1927
182,182,RL,Pave,6,1913,2,342,896,1172,741,1,9,1928
183,183,RL,Pave,6,1846,1,315,1040,1168,678,2,7,1949
184,184,RM,Pave,6,754,0,0,520,520,0,1,5,1935
185,185,RL,Pave,5,1584,3,792,1584,1584,0,2,8,1967
186,186,RL,Pave,5,923,1,264,876,923,0,1,5,1984
187,187,RL,Pave,3,1306,0,0,728,1306,0,1,6,1940
188,188,RL,Pave,6,1647,1,216,806,841,806,1,6,1915
189,189,RL,Pave,5,1090,2,450,1090,1090,0,1,5,2005
190,190,RL,Pave,6,1694,2,576,1181,1390,304,2,7,1925
191,191,RL,Pave,7,2090,2,484,1107,1107,983,2,7,1973
192,192,RL,Pave,6,1888,2,578,1517,1888,0,2,6,1966
193,193,RL,Pave,4,1738,1,368,715,1281,457,2,7,1920
194,194,RL,Pave,7,1426,1,216,912,912,514,1,7,1918
195,195,RL,Pave,6,1215,1,297,1215,1215,0,1,6,1958
196,196,FV,Pave,6,1573,2,440,756,769,804,2,5,2000
197,197,RL,Pave,6,1381,2,676,1161,1381,0,1,5,1972
198,198,RL,Pave,8,1563,3,758,1563,1563,0,2,6,2007
199,199,RL,Pave,4,894,2,400,894,894,0,1,5,1954
200,200,RM,Pave,6,1118,2,440,648,734,384,1,6,1920
201,201,RL,Pave,7,1494,3,840,1494,1494,0,2,7,2006
202,202,RM,Pave,6,1367,1,560,884,959,408,1,6,1931
203,203,RL,Pave,7,1632,2,462,935,955,677,2,8,1998
204,204,RL,Pave,7,2046,3,871,998,1006,1040,2,8,2003
205,205,RL,Pave,5,768,2,396,768,768,0,1,5,1972
206,206,RL,Pave,6,1080,2,484,1084,1080,0,1,5,1983
207,207,RL,Pave,7,1248,2,438,1248,1248,0,2,5,2005
208,208,RL,Pave,5,1074,2,495,1056,1074,0,1,6,1975
209,209,RM,Pave,6,813,1,270,813,813,0,1,5,1930
210,210,RL,Pave,7,1220,2,632,1199,1220,0,2,6,2006
211,211,RL,Pave,5,1125,2,430,1125,1125,0,1,5,2006
212,212,RL,Pave,7,1530,3,630,1530,1530,0,2,7,2004
213,213,RL,Pave,4,960,2,576,960,960,0,1,6,1970
214,214,RL,Pave,6,1868,2,477,585,1140,728,3,7,1984
215,215,RL,Pave,8,2000,3,888,2000,2000,0,2,8,2004
216,216,RL,Pave,6,1844,2,540,1844,1844,0,2,7,1969
217,217,RM,Pave,7,1482,2,324,650,832,650,1,7,1920
218,218,RL,Pave,7,2036,2,513,2136,2036,0,2,8,1965
219,219,RM,Pave,4,520,1,240,520,520,0,1,4,1927
220,220,RL,Pave,7,2256,2,554,952,980,1276,2,8,2000
221,221,RL,Pave,8,2217,2,621,2217,2217,0,2,8,1970
222,222,RL,Pave,5,1053,2,750,1008,1053,0,1,6,1958
223,223,RL,Pave,8,2098,3,878,1030,1038,1060,2,8,2005
224,224,RL,Pave,10,1718,3,786,1700,1718,0,2,7,2006
225,225,RL,Pave,10,2296,3,842,1722,1728,568,2,10,2008
226,226,RL,Pave,7,1456,2,400,728,728,728,2,8,2007
227,227,RL,Pave,5,1126,2,540,1126,1126,0,2,6,1977
228,228,RL,Pave,8,1502,2,528,1488,1502,0,1,4,1985
229,229,RL,Pave,6,2345,2,360,952,1170,1175,2,9,1932
230,230,RM,Pave,6,1406,0,0,319,1035,371,1,6,1920
231,231,RM,Pave,6,2210,1,205,1008,1178,1032,2,8,1880
232,232,RL,Pave,7,1820,1,240,1026,1133,687,2,8,1925
233,233,RL,Pave,7,1664,2,528,832,832,832,2,8,1976
234,234,RL,Pave,9,2822,3,1020,1734,1734,1088,3,12,2008
235,235,RL,Pave,6,1026,2,576,940,1026,0,1,5,1978
236,236,RM,Pave,7,1111,1,288,572,572,539,1,5,1926
237,237,RL,Pave,5,1040,2,576,1040,1040,0,1,6,1996
238,238,RL,Pave,7,1496,2,426,654,664,832,2,7,2006
239,239,RL,Pave,7,1824,2,739,1643,1824,0,2,5,1971
240,240,RL,Pave,6,1796,2,546,794,882,914,2,7,1998
241,241,RL,Pave,9,1506,2,592,1498,1506,0,2,6,2008
242,242,RL,Pave,6,1552,2,434,713,811,741,2,6,1975
243,243,RL,Pave,6,2515,2,484,2035,2515,0,3,9,1957
244,244,RL,Pave,7,2978,2,564,710,1898,1080,2,11,1967
245,245,RL,Pave,5,1235,2,480,1235,1235,0,1,6,1961
246,246,RL,Pave,3,1699,2,420,978,1014,685,2,7,1900
247,247,RL,Pave,7,2243,3,746,700,1122,1121,2,8,1990
248,248,RL,Pave,6,1786,2,684,824,905,881,2,7,1997
249,249,RM,Pave,5,1382,2,660,720,854,0,1,7,1941
250,250,RL,Pave,5,1252,2,576,504,936,316,1,5,1908
251,251,RL,Pave,5,1336,1,375,1165,1336,0,1,5,1953
252,252,RL,Pave,7,1661,2,598,1649,1661,0,2,6,1998
253,253,FV,Pave,6,1224,2,528,612,612,612,2,4,2009
254,254,RL,Pave,7,1430,2,400,384,774,656,2,7,2000
255,255,RL,Pave,8,1836,3,862,1836,1836,0,2,7,2004
256,256,RL,Pave,6,1470,2,420,680,680,790,2,6,1993
257,257,RL,Pave,5,1264,2,461,1268,1264,0,1,6,1960
258,258,RL,Pave,6,918,1,264,918,918,0,2,5,1979
259,259,RL,Pave,7,2196,3,701,2158,2196,0,2,7,1990
260,260,RL,Pave,6,1095,1,264,588,1095,0,1,6,1958
261,261,RL,Pave,5,936,1,308,936,936,0,1,4,1956
262,262,RM,Pave,5,1028,2,360,1008,1028,0,1,5,1927
263,263,RL,Pave,9,1752,2,576,1752,1752,0,2,6,2005
264,264,RL,Pave,7,1494,2,514,1482,1494,0,2,5,1998
265,265,RL,Pave,7,1226,3,740,1226,1226,0,2,6,2009
266,266,FV,Pave,8,2466,2,610,1580,1580,886,3,8,2004
267,267,RL,Pave,7,1502,1,270,776,851,651,1,6,1931
268,268,RL,Pave,8,1717,3,908,1709,1717,0,2,7,2006
269,269,RL,Pave,6,1302,1,309,1302,1302,0,2,7,1964
270,270,RM,Pave,6,1224,2,402,1224,1224,0,2,5,1999
271,271,RL,Pave,8,1970,3,753,1085,1120,850,2,8,2006
272,272,RL,Pave,7,1717,2,400,1156,1187,530,2,7,1990
273,273,RL,Pave,7,2157,2,487,924,1216,941,2,8,1966
274,274,RL,Pave,6,1851,2,440,822,1020,831,2,7,1964
275,275,RL,Pave,6,1362,2,504,1362,1362,0,1,6,1961
276,276,RL,Pave,4,960,1,364,648,960,0,0,3,1965
277,277,RL,Pave,9,2018,3,746,2002,2018,0,2,10,2008
278,278,RL,Pave,6,1442,2,615,1442,1442,0,2,6,1970
279,279,RL,Pave,4,864,2,400,864,864,0,1,4,1951
280,280,RL,Pave,6,1640,2,924,1296,1640,0,1,7,1954
281,281,RM,Pave,5,1559,2,812,1559,1559,0,1,5,1948
282,282,FV,Pave,7,1392,2,540,689,703,689,2,5,2007
283,283,RL,Pave,4,1440,0,0,1440,1440,0,2,8,1977
284,284,RL,Pave,6,1125,1,352,1041,1125,0,1,6,1976
285,285,RM,Pave,7,1709,2,380,970,970,739,2,7,2004
286,286,RL,Pave,7,1560,2,573,1560,1560,0,2,7,2003
287,287,RL,Pave,7,1368,2,474,1368,1368,0,2,6,2005
288,288,RL,Pave,7,1923,2,564,750,1061,862,2,8,1992
289,289,RL,Pave,5,1221,1,392,784,949,272,1,7,1924
290,290,C (all),Pave,4,1178,1,384,859,859,319,1,7,1900
291,291,RL,Pave,7,1482,2,392,384,812,670,2,7,1992
292,292,RL,Pave,7,1430,2,605,1413,1430,0,2,6,2001
293,293,RM,Pave,5,928,1,288,928,928,0,1,5,1957
